tournament_id,tournament_name,team_id,team_name,team_code,performance,year,start_date,end_date,host_country,winner,tournament_n_teams,is_womens,federation_name,region_name,confederation_name,confederation_code,is_host,is_champion,final_position,matches_played,wins,draws,losses,goals_for,goals_against,matches_extra_time,matches_penalty_shootout,goal_difference,yellow_cards,red_cards,sendings_off,stats_iso3,stats_iso3_substituted,hdi,life_expectancy,expected_schooling_years,mean_schooling_years,gni_per_capita,gii,planetary_hdi,gdp_per_capita,u5_mortality,u5_mortality_snapshot_year,indicator_year_used
WC-1938,1938 FIFA Men's World Cup,T-74,Sweden,SWE,third-place match,1938,1938-06-04,1938-06-19,France,Italy,15,0,Swedish Football Association,Europe,Union of European Football Associations,UEFA,0,0,4.0,3,1,0,2,11,9,0,0,2,,,,SWE,0,,,,,,,,,,,
WC-1938,1938 FIFA Men's World Cup,T-75,Switzerland,CHE,quarter-finals,1938,1938-06-04,1938-06-19,France,Italy,15,0,Swiss Football Association,Europe,Union of European Football Associations,UEFA,0,0,,3,1,1,1,5,5,1,0,0,,,,CHE,0,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-07,Bolivia,BOL,group stage,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,Bolivian Football Federation,South America,South American Football Confederation,CONMEBOL,0,0,,1,0,0,1,0,8,0,0,-8,,,,BOL,0,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-09,Brazil,BRA,final round,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,Brazilian Football Confederation,South America,South American Football Confederation,CONMEBOL,1,0,2.0,6,4,1,1,22,6,0,0,16,,,,BRA,0,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-13,Chile,CHL,group stage,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,Football Federation of Chile,South America,South American Football Confederation,CONMEBOL,0,0,,3,1,0,2,5,6,0,0,-1,,,,CHL,0,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-28,England,ENG,group stage,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,The Football Association,Europe,Union of European Football Associations,UEFA,0,0,,3,1,0,2,2,2,0,0,0,,,,GBR,1,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-41,Italy,ITA,group stage,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,Italian Football Association,Europe,Union of European Football Associations,UEFA,0,0,,2,1,0,1,4,3,0,0,1,,,,ITA,0,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-46,Mexico,MEX,group stage,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,Mexican Football Federation,North America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,0,0,,3,0,0,3,2,10,0,0,-8,,,,MEX,0,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-55,Paraguay,PRY,group stage,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,Paraguayan Football Association,South America,South American Football Confederation,CONMEBOL,0,0,,2,0,1,1,2,4,0,0,-2,,,,PRY,0,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-73,Spain,ESP,final round,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,Royal Spanish Football Federation,Europe,Union of European Football Associations,UEFA,0,0,4.0,6,3,1,2,10,12,0,0,-2,,,,ESP,0,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-74,Sweden,SWE,final round,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,Swedish Football Association,Europe,Union of European Football Associations,UEFA,0,0,3.0,5,2,1,2,11,15,0,0,-4,,,,SWE,0,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-75,Switzerland,CHE,group stage,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,Swiss Football Association,Europe,Union of European Football Associations,UEFA,0,0,,3,1,1,1,4,6,0,0,-2,,,,CHE,0,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-83,United States,USA,group stage,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,United States Soccer Federation,North America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,0,0,,3,1,0,2,4,8,0,0,-4,,,,USA,0,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-84,Uruguay,URY,final round,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,Uruguayan Football Association,South America,South American Football Confederation,CONMEBOL,0,1,1.0,4,3,1,0,15,5,0,0,10,,,,URY,0,,,,,,,,,,,
WC-1950,1950 FIFA Men's World Cup,T-87,Yugoslavia,YUG,group stage,1950,1950-06-24,1950-07-16,Brazil,Uruguay,13,0,Football Association of Yugoslavia,Europe,Union of European Football Associations,UEFA,0,0,,3,2,0,1,7,3,0,0,4,,,,SRB,1,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-05,Austria,AUT,third-place match,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Austrian Football Association,Europe,Union of European Football Associations,UEFA,0,0,3.0,5,4,0,1,17,12,0,0,5,,,,AUT,0,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-06,Belgium,BEL,group stage,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Royal Belgian Football Association,Europe,Union of European Football Associations,UEFA,0,0,,2,0,1,1,5,8,1,0,-3,,,,BEL,0,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-09,Brazil,BRA,quarter-finals,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Brazilian Football Confederation,South America,South American Football Confederation,CONMEBOL,0,0,,3,1,1,1,8,5,1,0,3,,,,BRA,0,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-21,Czechoslovakia,CSK,group stage,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Football Association of the Czechoslovakia,Europe,Union of European Football Associations,UEFA,0,0,,2,0,0,2,0,7,0,0,-7,,,,CZE,1,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-28,England,ENG,quarter-finals,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,The Football Association,Europe,Union of European Football Associations,UEFA,0,0,,3,1,1,1,8,8,1,0,0,,,,GBR,1,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-30,France,FRA,group stage,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,French Football Association,Europe,Union of European Football Associations,UEFA,0,0,,2,1,0,1,3,3,0,0,0,,,,FRA,0,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-36,Hungary,HUN,final,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Hungary Football Association,Europe,Union of European Football Associations,UEFA,0,0,2.0,5,4,0,1,27,10,1,0,17,,,,HUN,0,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-41,Italy,ITA,group stage,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Italian Football Association,Europe,Union of European Football Associations,UEFA,0,0,,3,1,0,2,6,7,0,0,-1,,,,ITA,0,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-46,Mexico,MEX,group stage,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Mexican Football Federation,North America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,0,0,,2,0,0,2,2,8,0,0,-6,,,,MEX,0,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-64,Scotland,SCO,group stage,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Scottish Football Association,Europe,Union of European Football Associations,UEFA,0,0,,2,0,0,2,0,8,0,0,-8,,,,GBR,1,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-71,South Korea,KOR,group stage,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Korea Football Association,East Asia,Asian Football Confederation,AFC,0,0,,2,0,0,2,0,16,0,0,-16,,,,KOR,0,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-75,Switzerland,CHE,quarter-finals,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Swiss Football Association,Europe,Union of European Football Associations,UEFA,1,0,,4,2,0,2,11,11,0,0,0,,,,CHE,0,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-80,Turkey,TUR,group stage,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Turkish Football Association,"Europe, Asia",Union of European Football Associations,UEFA,0,0,,3,1,0,2,10,11,0,0,-1,,,,TUR,0,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-84,Uruguay,URY,third-place match,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Uruguayan Football Association,South America,South American Football Confederation,CONMEBOL,0,0,4.0,5,3,0,2,16,9,1,0,7,,,,URY,0,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-86,West Germany,DEU,final,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Germany Football Association,Europe,Union of European Football Associations,UEFA,0,1,1.0,6,5,0,1,25,14,0,0,11,,,,DEU,0,,,,,,,,,,,
WC-1954,1954 FIFA Men's World Cup,T-87,Yugoslavia,YUG,quarter-finals,1954,1954-06-16,1954-07-04,Switzerland,West Germany,16,0,Football Association of Yugoslavia,Europe,Union of European Football Associations,UEFA,0,0,,3,1,1,1,2,3,1,0,-1,,,,SRB,1,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-03,Argentina,ARG,group stage,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Argentine Football Association,South America,South American Football Confederation,CONMEBOL,0,0,,3,1,0,2,5,10,0,0,-5,,,,ARG,0,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-05,Austria,AUT,group stage,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Austrian Football Association,Europe,Union of European Football Associations,UEFA,0,0,,3,0,1,2,2,7,0,0,-5,,,,AUT,0,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-09,Brazil,BRA,final,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Brazilian Football Confederation,South America,South American Football Confederation,CONMEBOL,0,1,1.0,6,5,1,0,16,4,0,0,12,,,,BRA,0,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-21,Czechoslovakia,CSK,group stage,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Football Association of the Czechoslovakia,Europe,Union of European Football Associations,UEFA,0,0,,4,1,1,2,9,6,1,0,3,,,,CZE,1,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-28,England,ENG,group stage,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,The Football Association,Europe,Union of European Football Associations,UEFA,0,0,,4,0,3,1,4,5,0,0,-1,,,,GBR,1,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-30,France,FRA,third-place match,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,French Football Association,Europe,Union of European Football Associations,UEFA,0,0,3.0,6,4,0,2,23,15,0,0,8,,,,FRA,0,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-36,Hungary,HUN,group stage,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Hungary Football Association,Europe,Union of European Football Associations,UEFA,0,0,,4,1,1,2,7,5,0,0,2,,,,HUN,0,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-46,Mexico,MEX,group stage,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Mexican Football Federation,North America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,0,0,,3,0,1,2,1,8,0,0,-7,,,,MEX,0,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-52,Northern Ireland,NIR,quarter-finals,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Irish Football Association,Europe,Union of European Football Associations,UEFA,0,0,,5,2,1,2,6,10,1,0,-4,,,,GBR,1,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-55,Paraguay,PRY,group stage,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Paraguayan Football Association,South America,South American Football Confederation,CONMEBOL,0,0,,3,1,1,1,9,12,0,0,-3,,,,PRY,0,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-64,Scotland,SCO,group stage,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Scottish Football Association,Europe,Union of European Football Associations,UEFA,0,0,,3,0,1,2,4,6,0,0,-2,,,,GBR,1,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-72,Soviet Union,SUN,quarter-finals,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Football Federation of the Soviet Union,"Europe, Asia",Union of European Football Associations,UEFA,0,0,,5,2,1,2,5,6,0,0,-1,,,,RUS,1,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-74,Sweden,SWE,final,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Swedish Football Association,Europe,Union of European Football Associations,UEFA,1,0,2.0,6,4,1,1,12,7,0,0,5,,,,SWE,0,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-85,Wales,WAL,quarter-finals,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Football Association of Wales,Europe,Union of European Football Associations,UEFA,0,0,,5,1,3,1,4,4,0,0,0,,,,GBR,1,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-86,West Germany,DEU,third-place match,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Germany Football Association,Europe,Union of European Football Associations,UEFA,0,0,4.0,6,2,2,2,12,14,0,0,-2,,,,DEU,0,,,,,,,,,,,
WC-1958,1958 FIFA Men's World Cup,T-87,Yugoslavia,YUG,quarter-finals,1958,1958-06-08,1958-06-29,Sweden,Brazil,16,0,Football Association of Yugoslavia,Europe,Union of European Football Associations,UEFA,0,0,,4,1,2,1,7,7,0,0,0,,,,SRB,1,,,,,,,,,,,
WC-1962,1962 FIFA Men's World Cup,T-03,Argentina,ARG,group stage,1962,1962-05-30,1962-07-17,Chile,Brazil,16,0,Argentine Football Association,South America,South American Football Confederation,CONMEBOL,0,0,,3,1,1,1,2,3,0,0,-1,,,,ARG,0,,,,,,,,870.217490905403,,,1962.0
WC-1962,1962 FIFA Men's World Cup,T-09,Brazil,BRA,final,1962,1962-05-30,1962-07-17,Chile,Brazil,16,0,Brazilian Football Confederation,South America,South American Football Confederation,CONMEBOL,0,1,1.0,6,5,1,0,14,5,0,0,9,,,,BRA,0,,,,,,,,250.200572910273,,,1962.0
