tournament_id,tournament_name,team_id,team_name,team_code,performance,year,start_date,end_date,host_country,winner,tournament_n_teams,is_womens,federation_name,region_name,confederation_name,confederation_code,is_host,is_champion,final_position,matches_played,wins,draws,losses,goals_for,goals_against,matches_extra_time,matches_penalty_shootout,goal_difference,yellow_cards,red_cards,sendings_off,stats_iso3,stats_iso3_substituted,hdi,life_expectancy,expected_schooling_years,mean_schooling_years,gni_per_capita,gii,planetary_hdi,gdp_per_capita,u5_mortality,u5_mortality_snapshot_year,indicator_year_used,gdi,pop_total,urban_pct,tertiary_enrolment,stage_order,pts,tournament_rank,performance_score,norm_hdi,norm_life_expectancy,norm_mean_schooling_years,norm_expected_schooling_years,norm_gni_per_capita,norm_gdp_per_capita,norm_pop_total,norm_gdi,norm_gii,norm_urban_pct,norm_tertiary_enrolment,economic_score,indicators_used,overperformance
WC-1990,1990 FIFA Men's World Cup,T-74,Sweden,SWE,group stage,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,Swedish Football Association,Europe,Union of European Football Associations,UEFA,0,0,,3,0,0,3,3,6,0,0,-3,4.0,0.0,0.0,SWE,0,0.808,77.588,12.94981956,9.553979874,33453.89666,0.099,0.706,30549.3185706762,6.95655280347905,1990.0,1990.0,0.986,8.5484055,83.4041730411294,,6,0,21,0.13043478260869568,0.7200704225352114,0.8161340350341951,0.6290090873405798,0.4024141959622786,0.3332618356980231,0.2994933308766261,0.005765315224397283,0.8055555555555557,0.8793565683646113,0.7809266562543056,,0.5671987002845784,10,-0.43676391767588274
WC-1990,1990 FIFA Men's World Cup,T-71,South Korea,KOR,group stage,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,Korea Football Association,East Asia,Asian Football Confederation,AFC,0,0,,3,0,0,3,1,6,0,0,-5,7.0,0.0,1.0,KOR,0,0.731,71.94,12.95363998,9.27328968,12641.31667,0.304,0.665,6812.9019416767,15.6688544775355,1990.0,1990.0,0.877,44.1200385,73.9851161168568,,6,0,22,0.08695652173913049,0.5845070422535211,0.6725395977932017,0.606862259483366,0.40263589527782506,0.11602380321802545,0.06421766710066075,0.030789132045354394,0.46913580246913594,0.6045576407506703,0.6506560022240822,,0.4201924842615843,10,-0.3332359625224538
WC-1990,1990 FIFA Men's World Cup,T-83,United States,USA,group stage,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,United States Soccer Federation,North America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,0,0,,3,0,0,3,2,8,0,0,-6,7.0,1.0,1.0,USA,0,0.875,75.37,15.60052013,12.98377037,40920.16756,0.288,0.664,23888.6000088133,11.2323729479784,1990.0,1990.0,0.998,248.083732,75.2685508261939,71.4957275390625,6,0,23,0.04347826086956519,0.8380281690140845,0.7597437266417514,0.8996240975009279,0.5562345879839476,0.41119345210780883,0.23347220370477625,0.1742728485300556,0.8425925925925928,0.626005361930295,0.6684065987365186,0.588594443204601,0.5998334619952144,11,-0.5563552011256492
WC-1990,1990 FIFA Men's World Cup,T-82,United Arab Emirates,ARE,group stage,1990,1990-06-08,1990-07-08,Italy,West Germany,24,0,United Arab Emirates Football Association,Middle East,Asian Football Confederation,AFC,0,0,,3,0,0,3,2,11,0,0,-9,7.0,0.0,1.0,ARE,0,0.717,71.9,9.683460236,5.759906188,97331.0236,,0.506,26709.993440327,15.1399406019073,1990.0,1990.0,,1.9001515,78.6857684415241,,6,0,24,0.0,0.5598591549295774,0.6715226400223733,0.32965165128627033,0.21286707118035206,1.0,0.2614378913124644,0.0010884230987196276,,,0.7156685674550105,,0.46901192491059596,8,-0.46901192491059596
WC-1991,1991 FIFA Women's World Cup,T-83,United States,USA,final,1991,1991-11-16,1991-11-30,China,United States,12,1,United States Soccer Federation,North America,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,0,1,1.0,6,6,0,0,25,5,0,0,20,4.0,0.0,0.0,USA,0,0.875,75.523,15.53299046,13.03085279,40306.76709,0.291,0.672,24342.2589048189,11.2323729479784,1990.0,1991.0,0.996,251.560189,75.543016838308,72.8127975463867,1,18,1,1.0,0.8380281690140845,0.7636335901151705,0.9033389627620957,0.552315835171934,0.40479088638606114,0.2379688764567698,0.1767184552064186,0.8364197530864199,0.6219839142091154,0.6722026122009911,0.5998399544951273,0.6006582735549262,11,0.3993417264450738
WC-1991,1991 FIFA Women's World Cup,T-53,Norway,NOR,final,1991,1991-11-16,1991-11-30,China,United States,12,1,Norwegian Football Federation,Europe,Union of European Football Associations,UEFA,0,0,2.0,6,4,0,2,14,10,1,0,4,4.0,0.0,0.0,NOR,0,0.853,77.038,14.33248043,11.25230571,42257.54568,0.127,0.75,28596.9330036444,8.66540463048132,1990.0,1991.0,0.979,4.2618865,72.1586354507439,,1,12,2,0.9090909090909091,0.7992957746478874,0.8021508656853025,0.7630092438809639,0.4826501303652437,0.4251527686178327,0.2801412602835939,0.0027498487639299692,0.7839506172839508,0.8418230563002681,0.625394786280591,,0.5806318352109564,10,0.32845907387995266
WC-1991,1991 FIFA Women's World Cup,T-74,Sweden,SWE,third-place match,1991,1991-11-16,1991-11-30,China,United States,12,1,Swedish Football Association,Europe,Union of European Football Associations,UEFA,0,0,3.0,6,4,0,2,18,7,0,0,11,6.0,0.0,0.0,SWE,0,0.811,77.728,13.11555004,9.707380295,32539.68144,0.097,0.716,31776.6680192213,6.95655280347905,1990.0,1991.0,0.987,8.5941705,83.4950691325043,,2,12,3,0.8181818181818181,0.7253521126760565,0.8196933872320952,0.6411125836141659,0.41203155059375235,0.3237194187679024,0.31165883423397445,0.005797509837920118,0.8086419753086421,0.8820375335120644,0.7821837983830133,,0.5712228704159588,10,0.24695894776585936
WC-1991,1991 FIFA Women's World Cup,T-31,Germany,DEU,third-place match,1991,1991-11-16,1991-11-30,China,United States,12,1,Germany Football Association,Europe,Union of European Football Associations,UEFA,0,0,4.0,6,4,0,2,13,10,1,0,3,3.0,0.0,0.0,DEU,0,0.835,75.576,14.56478977,10.5741328,38706.81317,0.172,0.696,23443.3350818536,8.53095414640868,1990.0,1991.0,0.936,79.8019875,80.0196919828142,,2,12,4,0.7272727272727273,0.7676056338028169,0.7649810591615183,0.7095005035820571,0.4961310622190801,0.38809085007117566,0.22905873208081545,0.055890553607606926,0.6512345679012349,0.7815013404825737,0.7341174518334848,,0.5578111754742363,10,0.16946155179849098
WC-1991,1991 FIFA Women's World Cup,T-14,China,CHN,quarter-final,1991,1991-11-16,1991-11-30,China,United States,12,1,Chinese Football Association,East Asia,Asian Football Confederation,AFC,1,0,,4,2,1,1,10,4,0,0,6,2.0,0.0,0.0,CHN,0,0.489,68.169,8.595879555,4.322265768,1533.782148,,0.473,334.130288119078,53.6641145765771,1990.0,1991.0,0.831,1170.626171,26.9402465820312,2.88314008712769,3,7,5,0.6363636363636364,0.15845070422535207,0.5766659039483385,0.21621991913850394,0.1497546666334236,8.53205108206723e-05,0.0,0.8232600064458871,0.3271604938271605,,0.0,0.002761023134148218,0.22543580378636346,10,0.4109278325772729
WC-1991,1991 FIFA Women's World Cup,T-41,Italy,ITA,quarter-final,1991,1991-11-16,1991-11-30,China,United States,12,1,Italian Football Association,Europe,Union of European Football Associations,UEFA,0,0,,4,2,0,2,8,5,1,0,3,3.0,0.0,0.0,ITA,0,0.785,76.989,13.15884018,7.569673685,36570.99563,0.236,0.69,22007.1350964074,9.65818348696988,1990.0,1991.0,0.942,56.794489,66.7007288477386,,3,6,6,0.5454545454545454,0.6795774647887325,0.8009050924160377,0.4724447023952796,0.41454368130396413,0.3657975639745551,0.21482309954317033,0.03970531330749348,0.6697530864197531,0.6957104557640751,0.5499089846206456,,0.4903169444533707,10,0.05513760100117471
WC-1991,1991 FIFA Women's World Cup,T-22,Denmark,DNK,quarter-final,1991,1991-11-16,1991-11-30,China,United States,12,1,Danish Football Association,Europe,Union of European Football Associations,UEFA,0,0,,4,1,1,2,7,6,1,0,1,2.0,0.0,0.0,DNK,0,0.843,75.226,14.47774982,11.49547958,38299.43054,0.097,0.724,27002.8057705804,8.92653539146181,1990.0,1991.0,0.978,5.158325,84.8537114843465,,3,4,7,0.4545454545454546,0.7816901408450704,0.7560826786667685,0.7821959841140854,0.49108012610729335,0.38383866216125534,0.26434025085724877,0.003380472407642181,0.7808641975308643,0.8820375335120644,0.8009745572870757,,0.5926484603489369,10,-0.13810300580348234
WC-1991,1991 FIFA Women's World Cup,T-15,Chinese Taipei,TWN,quarter-final,1991,1991-11-16,1991-11-30,China,United States,12,1,Chinese Taipei Football Association,East Asia,Asian Football Confederation,AFC,0,0,,4,1,0,3,2,15,0,0,-13,1.0,1.0,1.0,TWN,0,,,,,,,,,,,,,,,,3,3,8,0.36363636363636365,,,,,,,,,,,,,0,
